x,y,p
43.4194699,-83.9508068,50303
33.425125,-94.0476882,37442
32.8234621,-97.1705678,38448
38.0405837,-84.5037164,308428
30.4582829,-91.1403196,229426
33.1192068,-117.086421,148738
37.6390972,-120.9968782,204933
37.5482697,-121.9885719,224922
39.7047095,-105.0813734,147214
26.5628537,-81.9495331,165831
29.4241219,-98.4936282,1409019
36.0395247,-114.9817213,270811
33.640855,-117.603104,49228
35.4873613,-80.6217341,44359
42.0664167,-87.9372908,54771
37.3229978,-122.0321823,60189
42.3211522,-85.1797142,51848
48.2329668,-101.2922906,46321
34.0900091,-117.8903397,48508
40.6677248,-111.9388258,60519
39.1836082,-96.5716694,56143
29.3013479,-94.7976958,48733
41.7014912,-71.1550451,88697
41.6717648,-72.9492703,60568
40.6687141,-74.1143091,65028
42.3222599,-83.1763145,95884
39.3995008,-84.5613355,62258
26.0764783,-80.2521157,96830
26.2034071,-98.2300124,136639
43.661471,-70.2553259,66318
43.100903,-75.232664,61808
32.3512601,-95.3010624,100223
28.5652787,-81.5861847,37711
35.2270869,-80.8431267,792862
39.0911161,-94.4155068,117240
41.0534302,-73.5387341,126456
41.7637111,-72.6850932,125017
42.9633599,-85.6680863,192294
34.7303688,-86.5861037,186254
25.9017472,-97.4974838,181860
33.8752935,-117.5664384,159503
31.549333,-97.1466695,129030
42.4500845,-73.2453824,44057
33.8302961,-116.5452921,46281
33.8894598,-118.1597911,54980
41.5200518,-81.556235,45394
37.0057816,-121.5682751,51701
39.6136578,-86.1066526,53665
41.8850317,-87.7845025,52066
27.3364347,-82.5306527,53326
32.5093109,-92.1193012,49761
42.9956397,-71.4547891,110378
45.0941315,-93.3563405,78373
33.8675143,-117.9981181,82882
33.9022367,-118.081733,106589
39.165325,-86.5263857,82575
38.2544472,-104.6091409,108249
42.324204,-83.400211,82578
42.732535,-84.5555347,113972
45.5001357,-122.4302013,109397
33.9971974,-117.4854802,98030
41.2705484,-72.9469711,55046
33.8816818,-118.1170117,77593
41.6303103,-87.8539425,58590
38.7907339,-121.2357828,59738
36.2077288,-119.3473379,61170
37.7719074,-87.1111676,58416
26.1403635,-80.2133808,69813
33.0145673,-97.0969552,68609
33.952602,-84.5499327,59089
34.1954331,-79.7625625,37792
42.3917638,-71.0328284,37670
37.6304904,-122.4110835,42443
38.5200504,-89.9839935,42895
34.1083449,-117.2897652,213708
32.6400541,-117.0841955,256780
36.8529263,-75.977985,448479
32.715738,-117.1610838,1355896
44.977753,-93.2650108,400070
36.6777372,-121.6555013,155662
32.7667955,-96.5991593,143484
33.1972465,-96.6397822,148559
31.1171194,-97.7277959,137147
44.840798,-93.2982799,86319
38.9108408,-94.3821724,93184
41.7798226,-71.4372796,80566
