x,y
47.6541,-122.31041
47.65377,-122.31042
47.65358,-122.31043
47.65342,-122.31043
47.65319,-122.31044
47.65314,-122.31044
47.65312,-122.31043
47.65309,-122.31043
47.65306,-122.31042
47.65304,-122.3104
47.653,-122.31035
47.65289,-122.31023
47.65277,-122.31008
47.65275,-122.31005
47.65259,-122.30984
47.65252,-122.30971
47.65244,-122.30958
47.65237,-122.30945
47.6523,-122.3093
47.65227,-122.30921
47.65222,-122.3091
47.65219,-122.30899
47.65216,-122.30889
47.65212,-122.30871
47.65211,-122.30867
47.6521,-122.30857
47.65208,-122.30845
47.65206,-122.30832
47.65204,-122.30815
47.65204,-122.30815
47.65198,-122.30811
47.65197,-122.3081
47.65196,-122.3081
47.65195,-122.3081
47.65194,-122.30811
47.65193,-122.30811
47.65187,-122.30815
47.65186,-122.30816
47.65185,-122.30817
47.65184,-122.30817
47.65182,-122.30817
47.6518,-122.30817
47.65177,-122.30817
47.65174,-122.30817
47.65169,-122.30816
47.65159,-122.30815
47.65158,-122.30815
47.65157,-122.30815
47.65156,-122.30815
47.65155,-122.30815
47.65155,-122.30816
47.65154,-122.30816
47.65153,-122.30817
47.65153,-122.30818
47.65149,-122.30824
47.65149,-122.30824
47.65127,-122.30814
47.65122,-122.3081
47.65119,-122.30808
47.65116,-122.30804
47.65113,-122.30801
47.65112,-122.30798
47.6511,-122.30794
